id,name,user,sunk,built,built_details,description,construction,owner,size,sinking,location,underwater,region,latitude,longitude,image,caption,museum_link,dave_link
18,D9 Formerly Parmelia,1,1962,1929,"State Implements Works, Fremantle",Suction Dredge,"Steel with 2 pairs triple expansion, steam engines, 800 IHP",Dredging Industries of Australia,length 30m beam 10m,"By 1928 the dredge Parmelia, built in Renfrew, Scotland, in 1896, had become old and not worth repairing. For some years the hull of a new dredge had been under construction by the State Implements Works, and in late 1928 the two dredges were moored side by side while the machinery from the Parmelia was transferred to the new hull. The stripped hull of the Parmelia was then towed to the Ships’ Graveyard off Rottnest Island and scuttled.  The new Parmelia had two boilers each weighing about 20 tons to provide steam to the engines that had been transferred from the original dredge. The Parmelia commenced work in Fremantle Harbour on 27 February 1929.   In the early 1950s the Parmelia was sold to Dredging Industries of Australia who converted it from a bucket to a suction dredge, and renamed it D9.","Cockburn Sound, 2 miles from Alcoa Jetty","Excellent scuba diving protected from swell, 12 m depth",PC,-32.194148,115.742084,/site_images/D9_Dave_Jackson_2022.jpg,D9 wreck underwater. Dave Jackson 2022,,
19,Camilla,1,1903,1834,"1834 by R Menzies and Co. Leith, Scotland",2 masted Brigantine,Timber,"Leith Shipping Company, final as a lighter in Fremantle Harbour known as Ball’s Lighter.",201 tons length 26.2m.breath 7.2m depth 4.4m,"The Camilla departed Albany on 21 March 1901 under tow by the steamer Bullarra, arriving at Fremantle two days later. At Fremantle the lighter underwent a refit, as it had leaked considerably, necessitating the pumps being in constant use. It served as a lighter known as Ball’s lighter in Fremantle Harbour until condemned and beached beyond Woodmans Point in 1903",Location:   	Cockburn,"The wreck of the Camilla lies in 2m of water, bow towards shore, on its starboard side on an east-west axis. 70m off shore. Only timber and iron knees laying on sand remain.",PC,-32.187759,115.774192,/site_images/Camilla_Morrison_2021.jpeg,James Dingley filming Camilla. Patrick Morrison 2021,,
203,Ashfield Pontoon,1,1942,?,Coleman and Sons 1942,Pontoon,Timber,Unknown,,"Coleman and Sons built 3 pontoons around 1942. These were used to tie up to ships moored in Gage Roads during the war. Later, a yacht club obtained one and it was eventually sold to the Sandringham Hotel who intended to use it as a jetty for patrons to tie their boats to while in the hotel. After it sank, it was allowed to deteriorate and when the hotel changed hands it was decided to have the foreshore cleaned up and the pontoon was removed in 1980.","On bank of the river at Ashfields, Two houses upstream from Katanning Street Reserve",N/A,SW,-31.9256,115.9385,,,,
204,Alex T Brown,1,1907,1903,"1903 Globe Construction Co. Bollard, Washington USA",Schooner with 4 masts,Timber,"Pat Beakely Mill Co., USA also mentioned Skinner Shipping Co of Pudget Sound",788 ton  length 65.1m beam 12.2m depth 4.4m,"On 30 May 1917, Alex T. Brown (Captain Walter H. Meyers) was on voyage from Fremantle to Puget Sound in ballast, via Manila with a crew of 11, when she was blown ashore in a heavy gale 2 miles North of Yanchep (or 2 miles south of Wreck Point).",2 Miles North of Yanchep above high water line,The site consists of above water line heavy timbers and Keel buried in sand depending on storms and sand movement,MW,-31.5246,115.60505,,,,
205,Carlisle Castle,1,1899,1868,"1868 by R and H Green of Blackwell, London",Fully-Rigged Ship,Timber,J Robertson,1344 tons gross length 70m beam 11.5m depth 6.9m,Lost with all hands in force 10 gale which also claimed City of York,"Warnboro, Rockingham, Coventry Reef",na,PC,-32.33325,115.6325,,,,
206,Centaur,1,1874,1849,"1849 by Blaikie Brothers, Aberdeen, Scotland”",3 Masted Brig,Iron,"Messrs. Blaikie, to convey machinery to the Island of Mauritius.",188 tons gross  length 15ft  beam 26ft depth 16ft,"Carrying lead ore, 9 crew and 4 passengers en route Champion Bay to  Fremantle got too close inshore. Struck reef in strong southerly.",On Limestone  reef 3 miles offshore North  Beach,The site consists of scattered iron wreckage and some Galena (lead ore),PC,-31.86376,115.7111183,,,,
208,Gem,1,1876,1835,"1835 in Cowes, Isle of Wight, U.K.",Painting of a similar Cutter (artist unknown),"Wood, carvel built",Unknown (Capt. Wilcock),"tons 52, length 20.1m, beam 4.8m, depth 2.6m","On 18 May 1876, Gem with Capt. Wilcock was on voyage from Port Irwin to Fremantle with a cargo of 500 bags of wheat and 4 passengers and a crew of 7, when she was lost off Phillip Rock. 11 died. A cover-up by the harbour-master was suggested because of the discrepancies in the information he gave about the vessel’s position.","Near Phillip Rock, Thomson Bay, approximately 300 metres southeast of Kingston Reef",The keel and a line of encrusted ribs lay on a sandy bottom and are usually completely covered in dense weed.,RI,-31.98768,115.56143,,,,
211,Kiryo Maru,1,1984,1970,1970,Japanese tuna boat,Steel,Unknown		Captain: Mergume Amegata,"tons,  length 36m, beam m, depth m",Ran aground in rough seas after the propeller shaft broke. One seaman swam ashore with a line and was followed by the remaining 17 crewmen.,"SCUBA DIVE In 5m depth 50 metres offshore at Cathedral Rocks, can SNORKEL in good weather from shore",Broken up and covered in weed in 5m,RI,-32.020345,115.449514,,,,
214,Black Swan Dredge,1,1911,1892,"1892  Mr Christian, North Fremantle assembled the dredge that came out in sections from UK",Bucket ladder dredge,"Iron bottom replaced with jarrah 12 HP up to 32HP with large flywheel, Maudslay Son and Field",Public Works Department,tonnes ? length 27.4m  beam 7.3m depth,Towed outside North Mole and scuttled with other plant,"outside old North Mole, Fremantle","Not Seen in recent years, possible covered by new north mole",PC,-32.0510928,115.7258096,,,,
215,Duchess,1,1945,1889,"W & S Lawrence, Perth, during 1899 as a paddle steamer.",Paddle Steamer Ferry,Timber,"The South Perth Ferry Co. Other owners: Samuel William Copely, Alfred E. Tilley & Co.",tonnes 39 length 57.58 ft beam 18 ft depth 5.8 ft,Towed out to sea and sunk circa 1945 (behind Rottnest Island),Rottnest Graveyard,In deep water,SW,-31.9598,115.8579,,,,
216,City Of Perth,1,1908,1891,"as a steam cutter by William Lawrence during 1871. Carried passengers on weekend pleasure cruises, but was used principally as a cargo vessel. She was later converted to a lighter",Side Paddle Steamer,Timber,"George Randell & William Lawrence. Other owners: R.F. Scholl of Roebourne , Trader Godfrey C. Knight of Roebourne , Trader",61.2 tonnes length 87 ft beam 16.6 ft depth 5.3 ft,Abandoned,"sits in 1 metre of water in Rocky Bay, North Fremantle",The wreck is  covered with rocks from the surrounding area (which she may have been carting) and is in about 1 metre of water.,SW,-32.029512,115.757301,,,,
221,ALC 40,1,1943,1940,"circa 1940 by Ford Motor Co., Geelong",Australian Landing Craft,Steel,"43rd Landing Company, Australian Army Used to transport vehicles and troops  during the Second World War.",62.1 tonnes length 18.6m  beam 5.4m depth 0.8m,"In trouble offshore Fremantle in 1942 – 43. Navy sent vessel to sink her,  but instead towed her back and moored her to the torpedo jetty in Swan.  Broke free in a storm and sank where she now lies.",Just upstream of the Perth Water Transport Unit of the Australian Army Depot about 50 metres from shore in 10 metres of water.,"laying upright in 10 metres of water, stripped of engines her many compartments are open to view a variety of fish and marine life. Divers: this wreck lies within moorings and caution needs to be taken of moving boats.",SW,-32.02746182,115.7709815,,,,
222,Blackwall Reach Barge,1,1967,?,unknown,Barge to be towed,Steel,Goldfields Metals Company,Length: 18.5m  Beam: 6m depth 1.5m,"In July 1967, the Swan River Conservation Board gave permission to the Goldfields Metals Company to strip and sink a sixty ton steel barge in Blackwall Reach. The board reluctantly agreed, fearing it would create a precedent and others might seek a similar concession. However, this particular vessel had about one foot of concrete in the bottom making it extremely difficult to get ashore in order to cut up. Also, it had been explained to members of the Board that permission to tow the vessel through the Fremantle Harbour had been denied by the Port Authority because they were fearful of it accidently sinking enroute.",Blackwall Reach. 50 m from shore Depth 14m – 16m,,SW,-32.01942,115.784039,,,,
223,Chinese Junk Gay Dragon,1,1980s,1960s,Singapore arrived mid 1960’s,Pleasure Craft,Timber,Mr Nette,length 25-30ft beam 6-8ft,Sunk on moorings by neglect or possible collision?,Straight out from Sea Scouts Jetty at East Fremantle,"The site consists of timber keel, part ribs and small wreckage in 10m depth",SW,-32.027556,115.771414,,,,
224,Lady Stirling,1,1878,1857,"Built as paddle steamer in England, broken down and shipped to Fremantle.  Assembled at Fremantle by Solomon Cook during 1857.",Paddle Steamer,Wood,Ross Richard Homfray Other owners: John Wellard & Edmund Oakley,24.62 length 18ft beam 16ft  depth 5ft,"Notification having been received of the vessel having been broken up, the registration was cancelled on 4th July 1878",Old Perth Port,,PC,,,,,,
225,Daisy,1,1920,1899,at Fremantle by J Howson during 1899,Barge  to be towed,Timber,"Cecil Murphy of Broome, Master Mariner",tonnes 12  length 19.5m beam 4.2m depth,"John Mills owned a Pottery Company on the Maylands peninsular in the early part of this century. The clay used for his work was imported from N.S.W. along with the coal and this was transported up the river from Fremantle on a barge called Daisy, towed by the ‘Swan’.  When the pipes were manufactured they had to be transported by the two vessels to the Public Works Department where they were tested. Around 1920, local coal and clay was being used and the pipe testing being done on site, the Daisy was no longer required and sank due to neglect and now lies on the bank opposite the Maylands slipyards.. A rudder was found on the shoreward end of this double ended vessel.",On bank opposite Maylands slipyards,,SW,-31.942434,115.913039,,,,
226,Eva Barge,1,1944,1897,W & S Lawrence  (1897) Fremantle,Barge (Lighter – Barge to be towed),Timber,A E Manolois,Length: 20.4m  Beam: 4.5m Depth: 1.8m,Sold to new owner A E Manolois to be used for landing slipway. Now part of marina and Pier 21,Jetty at Point Direction,"The remains of this barge can be found in amongst the jetty at point Direction, North Fremantle. When this jetty was being built by F. Coleman and sons, this barge was found to be buried in the way of the piles. Attempts to move her failed, so the piles were driven straight through her hull. In 1981, a restaurant was being built on shore and although dredging was carried out, it was kept as far away from the wreck as possible.",SW,-32.033133,115.760476,,,,
227,Mayflower,1,1979,1908,1908 by George Mc Carther and Peter Anderson at Royal Ophir Boat Sheds,77 Passenger Ferry,Timber,Melville Ferry Co.,length 15m  beam 3.4m depth 1.2m with original Union petrol engine. Replaced with Lister diesel engine,"In 1979 the Mayflower drifted onto the shallow bank of the Swan River at Belmont, just upstream from Belmont Creek. She stayed there for several months until the new owner re-floated her, put in a motor, possibly a Holden, an attempted to take her down river. When it became evident she would not complete the journey without substantial repairs, she was moored in Wreck Bay, Applecross, where she sank at her moorings and began to break up during a storm. The remains were taken to Fremantle for inspection and it was decided to return her to the river in the same condition.  She was then taken to Bull’s Creek, where her hull still remains.","Bull’s  Creek, Canning River",,SW,-32.0433,115.8613,,,,
228,Point Roe Box Barges,1,1942/43,?,,Barges to be towed,Timber,,length 12.2m  beam 6.1m each,,Between Point Roe spit post and shore,The barges lie in approx. 1.5m of water. 40 metres apart,SW,-32.02547667,115.7733167,,,,
229,Carnac,1,1940,1922,1922,Powered Barge,"Timber, powered by 2 stroke diesel engine",Bunnings Bros (2) Solomons,length 12.5m beam 4.0 m depth 2.0 m,Used as a ferry between Fremantle and Garden Island taking holidaymakers to and from their shacks on the island. Sold to Solomons in 1929 and used as a hopper barge until she was considered too small for the job.  She was moored next to the bridge and sunk due to lack of maintenance.,"50m Upstream Fremantle Traffic Bridge, Swan River",in line with 6th pylon in the water from the south bank.,SW,-32.04169,115.755176,,,,
230,Heathcote Unidentified,1,?,?,,Barge may have belonged to Swan Portland Cement Company,Timber,believed Swan Portland Cement Company,length 17.3m  beam 4.3m,Abandoned,"At the foot of the cliffs at Heathcote Hospital, buried in sand and covered by water except at very low tide",In very shallow water buried in sand with timber ribs exposed,SW,-32.003433,115.84115,,,,
231,Canton,1,1854,1841,1841 at Fremantle by Joseph Bobin,Barge,Wood (Jarrah),James Dyer sold to Peter Habgood 1851,,"There are no details of exactly when or how the Canton was lost. In April 1881 Browne wrote a letter to George Shenton, MLC, Mayor of Perth, and a similarly worded letter to The Herald newspaper, stating that the barge had been wrecked 27 years earlier at the entrance to Miller’s Pool.","Entrance to Miller’s Pool, Mill Point, South Perth","Miller’s Pool on Mill Point no longer exists, as during the period 24–28 February 1941 the pool was filled with mud deposited by the dredge Captain Stirling. The reclamation work was undertaken due to subsidence of previous fill, and was a joint effort of the Public Works Department and the South Perth Roads Board. The site was later covered by earthworks as part of the construction of the Narrows Bridge.",SW,-31.9649,115.8485,,,,
232,Mayfield,1,1945,1899,circa 1899 registered to be towed,Ship to be towed,Timber. 2 engines fitted 1934,Swan Brewery Co.  about 1934 Tilley,length 22m  beam 5m,Abandoned?,"15 metres from shore Rocky Bay, North Fremantle in 5 metres of water",,SW,-32.029461,115.757407,,,,
233,Harley,1,1905,1897,1897 at Coffee Point with parts sent from Scotland A.W. Grey under the supervision of Mr Hines,Composite paddle wheel steamship,Composite timber and iron Double ended with a rudder at both ends.,Melville Waters Park Estates Ltd.,27.5 tonnes length 65ft  beam 12ft depth 5.25ft,Abandoned,The Harley rusted away on the land at Coffee Point and this was described as being the area reclaimed just north of the old slipway.,,SW,-32.00477,115.84735,,,,
234,Trixen,1,1970,1904,Broome in1904 by Henry Miller,Broome Pearling Lugger,Timber,Elisa Miller,15.73 tons gross 37.83 ft long 12.58 ft width 5.75 ft deep,Abandoned at Maylands 	Raised:  1981 by MAAWA Extensive rebuilding by WA Museum and now a feature exhibit in main Maritime Museum as fine example of WA early pearling lugger,Abandoned at Maylands. Now a feature in  Maritime Museum Fremantle,,SW,-31.944139,115.91272,,,,
235,Python,1,1940,1907,"November 1907 W & S Lawrence of Bazaar Terrace, Perth",Barge to be towed,"Wooden had one deck, elliptical stern, straight head, one bulk head and was carvel planked.","Swan river shipping company until 1939, then from 1945 to 1946 shell Oil company. Bought by C.A. Burgess Loyd for extension to jetty",152 tonnes Length: 32m  Beam: 7.95m Draft: 2.7m,"She was towed up the Canning River by Joe Hill for H. Tilly who was taking her to the Clontarf School so that the students could play on her beside the jetty. It was in the later 1940’s the tow boat was not able to proceed past Salters Point due to shallow water so the school was notified and students tried to pole it up to their jetty. The barge became stuck in the mud and was never moved.  The tow boat headed back to Fremantle but when it got to Canning Bridge, they had to wait until the next day before being able to go under since the tide had risen and there was not enough clearance.","At the foot of Violet Street, Shelley, Canning River",Some ribs remain,SW,-32.02962167,115.8768498,,,,
236,Priestman Grab Crane,1,1968,1945,prior 1945,Pontoon A dredge,Steel,Public Works Dept.,197 tonnes  length 21.35m  beam 7.32m,"In November 1954, she was working with another dredge the Parmelia, at number 10 berth North Quay, when she sank and settled on the bottom. She was raised at a cost of $2,400 and she sank again in june 1961 beside the jetty at Ellam street, Victoria Park, but was raised once more by the P.W.D. In December 1963, she was used to help salvage the yacht Panama, and in 1964 the authorized working pressure for her boiler was reduced from 110 lb.psi to 70lb. psi. At 2.30 pm on the 6th august 1968, flood water conditions produced a fast current and having just taken on 6 tons of coal, the vessel being towed by the Avon, capsized and sank to the bottom where her remains now lie. She was stripped of her jib and machinery and blasted to allow river traffic to pass without difficulty. The information above was obtained from the P.W.D. file and Jim Kleast was then diver in charge.",100m upstream of the old Fremantle Traffic Bridge,"stripped of machinery and blasted to reduce hazard to river  traffic However, it’s position in relation to navigation channels precludes un-authorised diving.",SW,-32.0411,115.755433,,,,
237,Melville Water Unidentified,1,?,?,,Unidentified wreck on chart,,,,"There was a wreck which appeared on an admiralty chart surveyed in 1896.  Several attempts have been made by M.A.A.W.A. divers to locate the remains. In September 1979 a boat, from the Swan Yacht Club fitted with echo sounding gear was made available but this attempt to locate the remains also failed.  The map showing the wreck is an admiralty chart 1896, (Swan River, North Fremantle to Perth) and was published 30th July 1904. The wreck is shown by a symbol which classified her as a hazard to navigation.  For this to be recorded on such a chart, it is my opinion that she was considered permanent and larger than a pleasure  craft.  This site should be investigated further since it is  possible that the remains still lie, perhaps buried,  on the bottom.",,,SW,-31.9986433,115.8317317,,,,
240,Transit,1,1842,1834,1834 in Northumberland U.K.,Two-masted Schooner,Wood,"William Billingsley, Cape of Good Hope","tons 124, length 20.9m, beam 6.3m, depth 3.8m","Enrote from Columbo to Fremantle with a cargo of horses,tea,fruit and furniture. After successfully rounding Rottnest Island, the master gave instructions to steer towards Gage Roads and went below.  Soon afterwards, the vessel struck Duck Rock and sank.",Thomson Bay near Duck Rock,"Any wreckage of the Transit has not been seen in recent times, but an underwater plinth marks the approximate position.",RI,-31.987667,115.543617,,,,
241,Raven,1,1891,1864,1864 in Sunderland U.K.,Three-masted Barque,Wood. Carvel built with one deck,"W. R. Cave and Co., Adelaide","tons 343, length 36.9m, beam 8.4m, depth 5.2m",A fresh southerly breeze was blowing when the Raven left Fremantle en route to Bunbury via the South Passage.  The vessel ran aground near Dyer Island.  The crew took to the lifeboats and were later rescued.,"Dyer Island, approximately 200 metres southeast of the rock.","Partly buried on a sand and weed bottom and lying in 6 metres of water, what remains of the Raven is hard to distinguish from the surrounding reef.",RI,-32.021,115.5513333,,,,
245,Janet,1,1887,1878,"1878 by James Storey at foot of Arundel Street, in Fremantle",Three-masted Schooner,Wood,Daniel. J. Avery  Captain: William Miles,"tons 211, length 36.6m, beam 7m, depth 3m","Inbound from Colombo with a cargo of Indian corn and furniture, the Janet sank whilst attempting to reach Fremantle without the aid of a pilot.  A rescue boat was launched and the crew rescued from heavy seas.","On Transit Reef, a short distance from the Macedon and Denton Holmes.",Lies on a shallow honeycomb reef at the depth of around 4 metres.  Wreckage includes two anchors and a small donkey boiler.,RI,-31.9875,115.556833,,,,
247,Miwok Barge,1,1983,?,"by James McLarty & Sons, Fremantle",Flat top Crane Barge,Steel,Hammersley Iron. Used during construction of the ore loading facility at Dampier,238 tons length 33.5m beam 13.7m draft 2.4m,By explosives as part of SAS demolition training,"Offshore Bickley Point, Rottnest",5m depth. The barge sits low above the sea floor. There is plenty of life on the wreck but it is mostly flat broken plates of steel with a few holes you could stick your head through and spots to just squeeze into at north east of the wreck.,RI,-32.01411,115.5593,,,,
252,Day Dawn,1,1886,1851,"1851 at Fairhaven, Massachusetts, USA as a whaling ship, Thomas Nye   It was converted from 3-masted ship to barque rig, probably in 1864.",3 masted ship converted to Brig,Timber,"In 1867 registered in Sydney owner P. Jones.  In 1872 the owner was H. Barne, but still registered at Sydney. By 1874 the owner James Smith, Adelaide In 1877 sold to Hansford Ward of Yatala, South Australia.",355 ton  length 36.9m beam 8.6m depth 4.4m,"The Day Dawn driven ashore in bad weather at Qindalup whilst loading a cargo of sleepers on 14 July 1886, later refloated and towed to Fremantle to be used as a Hulk. She Later went ashore, hogged at anchor at Careening Bay","Careening Bay, Garden Island","In 1976 the wreck of the hulk Day Dawn was located during dredging operations in Careening Bay at Garden Island, and thoroughly investigated by members of the Maritime Archaeological Association of Western Australia. Because it was in the way of further dredging at the naval base of HMAS Stirling, the wreck was moved to a safer position. The wreck lays within Navy Operations and a permit is required to dive.",PC,-32.241161,115.695294,,,,
253,Redemptora,1,1898,1853,c.1853 in Brazil,Fully-rigged Ship,Timber,Adelaide Steamship Co.,1250 ton  length 88ft beam 22ft depth 9.5ft,"Redemptora sailed under the Brazilian ﬂag from Rio  de Janeiro to Eastern Australia. The master was Captain Caseveccia who commanded a crew of 23 men. Their cargo consisted of 233 tons sugar, 200 tons of coffee and 600 tons of ballast. On the trip, the Redemptora was caught in a storm and lost its mainmast, fore topgallant mast, and had one side of the copper sheathing stripped away. In great distress the vessel reached Fremantle on 16 October 1888, where it was considered uneconomical to repair, and along with the cargo, was sold by auction for a total of £2 070. The hull was then knocked down to another buyer, a Mr Lilly, for £315. Subsequently Mr Lilly used the vessel as a hulk, operating it out of Careening Bay, Garden Island.",Jervoise Bay,The vessel now lies about 25 m from the shore in a depth of 2.9 to 4 m.,PC,-32.151316,115.766224,,,,
254,Elizabeth,1,1839,1830,1830 Singapore,Sailing Ship Barque,Timber,Joseph Hickey Grose,194 ton  length 23.5m beam 7.7m depth 1.8m,Sailing from Manila to Sydney with Captain Garrett with cargo of general and 2 passengers and a crew of 15. She  was driven ashore in a gale,North Metropolitan Cottesloe at the foot of Warton Street,"Normally buried in sand. Wreckage is visible between the shore and an outlying reef. A cannon, one of a number on board remains at the SW corner of the reef. Others were recovered in the 1960s.",PC,-32.01011667,115.751233,,,,
